# P(station WBS) S(station WBS) P(station WMF) S(station WMF)
20190704T232624.910000 20190704T232632.380000 20190704T232624.190000 20190704T232630.970000
20190704T232832.040000 20190704T232839.840000 20190704T232831.640000 20190704T232838.850000
20190704T233154.920000 20190704T233202.860000 20190704T233154.290000 20190704T233201.490000
20190704T233704.760000 20190704T233712.050000 20190704T233704.420000 20190704T233710.850000
20190704T234404.420000 20190704T234411.140000 20190704T234404.750000 20190704T234411.970000
20190704T234532.570000 20190704T234539.610000 20190704T234528.800000 20190704T234532.770000
20190704T234622.510000 20190704T234629.950000 20190704T234621.770000 20190704T234628.930000
20190704T234640.860000 20190704T234647.370000 20190704T234642.410000 20190704T234650.020000
20190704T235106.840000 20190704T235113.850000 20190704T235105.150000 20190704T235110.930000
20190704T235446.470000 20190704T235453.730000 20190704T235446.870000 20190704T235454.620000
20190705T000112.120000 20190705T000119.530000 20190705T000111.750000 20190705T000119.140000
20190705T000833.310000 20190705T000840.550000 20190705T000832.250000 20190705T000838.490000
20190705T000930.770000 20190705T000937.980000 20190705T000929.740000 20190705T000936.210000
20190705T001415.490000 20190705T001422.540000 20190705T001416.220000 20190705T001423.780000
20190705T001653.060000 20190705T001700.610000 20190705T001653.250000 20190705T001700.460000
20190705T001728.260000 20190705T001734.840000 20190705T001728.960000 20190705T001736.610000
20190705T002036.620000 20190705T002043.960000 20190705T002036.440000 20190705T002043.380000
20190705T002212.050000 20190705T002218.010000 20190705T002214.510000 20190705T002222.450000
20190705T002354.320000 20190705T002401.570000 20190705T002353.200000 20190705T002359.580000
20190705T003058.040000 20190705T003105.280000 20190705T003057.010000 20190705T003103.520000
20190705T003217.560000 20190705T003225.650000 20190705T003216.750000 20190705T003224.130000
20190705T004951.850000 20190705T004959.660000 20190705T004950.870000 20190705T004958.210000
20190705T005012.570000 20190705T005018.410000 20190705T005015.330000 20190705T005022.920000
20190705T005039.600000 20190705T005045.450000 20190705T005042.390000 20190705T005050.330000
20190705T005300.990000 20190705T005307.130000 20190705T005302.950000 20190705T005311.170000
20190705T005415.610000 20190705T005422.970000 20190705T005415.080000 20190705T005421.570000
20190705T005653.350000 20190705T005700.530000 20190705T005652.080000 20190705T005658.660000
20190705T005919.310000 20190705T005926.740000 20190705T005918.740000 20190705T005925.330000
20190705T005936.800000 20190705T005943.470000 20190705T005937.360000 20190705T005944.650000
20190705T010417.510000 20190705T010424.690000 20190705T010416.230000 20190705T010422.750000
20190705T010531.120000 20190705T010537.890000 20190705T010529.570000 20190705T010535.370000
20190705T011413.630000 20190705T011420.480000 20190705T011412.100000 20190705T011418.090000
20190705T011823.500000 20190705T011830.760000 20190705T011823.880000 20190705T011831.640000
20190705T012438.790000 20190705T012446.040000 20190705T012438.890000 20190705T012445.930000
20190705T013319.590000 20190705T013326.230000 20190705T013320.110000 20190705T013327.570000
20190705T013546.470000 20190705T013552.720000 20190705T013548.580000 20190705T013556.330000
20190705T013935.320000 20190705T013942.520000 20190705T013934.430000 20190705T013940.330000
20190705T014325.870000 20190705T014332.080000 20190705T014327.760000 20190705T014335.420000
20190705T014602.560000 20190705T014608.880000 20190705T014604.660000 20190705T014612.360000
20190705T015206.630000 20190705T015214.610000 20190705T015205.520000 20190705T015212.690000
20190705T015301.800000 20190705T015309.380000 20190705T015301.450000 20190705T015308.690000
20190705T020150.470000 20190705T020157.290000 20190705T020148.920000 20190705T020154.490000
20190705T020440.930000 20190705T020448.130000 20190705T020439.720000 20190705T020445.970000
20190705T021009.520000 20190705T021017.080000 20190705T021009.030000 20190705T021016.290000
20190705T021951.160000 20190705T021958.040000 20190705T021949.640000 20190705T021955.650000
20190705T022146.350000 20190705T022152.570000 20190705T022148.430000 20190705T022156.000000
20190705T022513.880000 20190705T022521.080000 20190705T022512.560000 20190705T022518.850000
20190705T022806.500000 20190705T022812.570000 20190705T022809.190000 20190705T022817.000000
20190705T023226.070000 20190705T023233.500000 20190705T023225.730000 20190705T023232.810000
20190705T024158.650000 20190705T024206.260000 20190705T024158.210000 20190705T024205.670000
20190705T024519.350000 20190705T024526.180000 20190705T024517.770000 20190705T024523.670000
20190705T024950.930000 20190705T024958.040000 20190705T024949.920000 20190705T024956.210000
20190705T025404.370000 20190705T025410.180000 20190705T025407.190000 20190705T025415.700000
20190705T025757.880000 20190705T025804.320000 20190705T025759.900000 20190705T025807.800000
20190705T030000.000000 20190705T030007.420000 20190705T030000.370000 20190705T030008.160000
20190705T030212.880000 20190705T030220.540000 20190705T030212.230000 20190705T030219.490000
20190705T030440.930000 20190705T030447.150000 20190705T030442.970000 20190705T030450.450000
20190705T030631.330000 20190705T030639.090000 20190705T030630.570000 20190705T030637.820000
20190705T031527.810000 20190705T031534.410000 20190705T031528.980000 20190705T031536.460000
20190705T031659.700000 20190705T031706.980000 20190705T031659.650000 20190705T031706.520000
20190705T031752.200000 20190705T031758.890000 20190705T031753.360000 20190705T031800.880000
20190705T032003.700000 20190705T032011.040000 20190705T032004.110000 20190705T032011.970000
20190705T032407.180000 20190705T032414.540000 20190705T032406.280000 20190705T032412.850000
20190705T033131.680000 20190705T033138.780000 20190705T033130.960000 20190705T033137.320000
20190705T034115.920000 20190705T034121.920000 20190705T034118.650000 20190705T034126.370000
20190705T034211.060000 20190705T034217.890000 20190705T034211.640000 20190705T034218.930000
20190705T034311.790000 20190705T034319.060000 20190705T034310.560000 20190705T034317.140000
20190705T034623.520000 20190705T034631.410000 20190705T034622.750000 20190705T034630.210000
20190705T035025.010000 20190705T035033.140000 20190705T035024.080000 20190705T035031.330000
20190705T035528.470000 20190705T035535.780000 20190705T035527.650000 20190705T035534.620000
20190705T035638.430000 20190705T035645.580000 20190705T035637.630000 20190705T035643.690000
20190705T035856.620000 20190705T035903.770000 20190705T035855.490000 20190705T035901.700000
