# P(station WBS) S(station WBS)
20190705T044057.090000 20190705T044104.280000
20190705T045316.540000 20190705T045322.620000
20190705T045454.070000 20190705T045501.410000
20190705T050010.440000 20190705T050017.810000
20190705T050147.980000 20190705T050154.050000
20190705T051144.700000 20190705T051151.970000
20190705T051834.750000 20190705T051841.620000
20190705T052708.110000 20190705T052714.040000
20190705T053146.900000 20190705T053153.170000
20190705T054429.440000 20190705T054436.010000
20190705T060457.080000 20190705T060504.570000
20190705T060831.470000 20190705T060838.810000
20190705T060932.020000 20190705T060938.530000
20190705T062129.280000 20190705T062136.440000
20190705T062430.710000 20190705T062438.370000
20190705T062500.210000 20190705T062507.250000
20190705T063208.890000 20190705T063216.090000
20190705T063721.370000 20190705T063727.450000
20190705T064012.090000 20190705T064018.850000
20190705T064030.310000 20190705T064037.840000
20190705T064756.300000 20190705T064802.640000
20190705T065300.620000 20190705T065308.050000
20190705T065541.170000 20190705T065548.590000
20190705T065910.660000 20190705T065917.900000
20190705T070116.000000 20190705T070123.160000
20190705T071951.400000 20190705T071958.770000
20190705T073847.300000 20190705T073854.130000
20190705T074437.340000 20190705T074444.680000
20190705T075840.410000 20190705T075847.760000
20190705T075935.360000 20190705T075941.530000
20190705T080053.000000 20190705T080100.300000
20190705T080220.120000 20190705T080226.010000
20190705T080248.310000 20190705T080256.050000
20190705T080307.280000 20190705T080314.610000
20190705T081118.520000 20190705T081125.620000
20190705T081748.790000 20190705T081756.900000
20190705T082113.290000 20190705T082119.500000
20190705T082623.950000 20190705T082630.170000
20190705T083132.180000 20190705T083139.420000
20190705T083442.840000 20190705T083450.090000
20190705T085703.060000 20190705T085710.370000
20190705T090248.750000 20190705T090255.090000
20190705T090314.520000 20190705T090320.690000
20190705T091219.750000 20190705T091225.650000
20190705T092203.210000 20190705T092210.650000
20190705T093130.820000 20190705T093137.640000
20190705T094117.780000 20190705T094124.850000
20190705T094133.240000 20190705T094141.190000
20190705T094638.760000 20190705T094645.810000
20190705T095405.650000 20190705T095411.480000
20190705T102108.670000 20190705T102114.490000
20190705T102136.400000 20190705T102143.490000
20190705T102326.060000 20190705T102334.370000
20190705T102919.810000 20190705T102926.050000
20190705T103956.510000 20190705T104004.100000
20190705T104440.480000 20190705T104446.680000
20190705T104539.060000 20190705T104546.890000
20190705T104834.300000 20190705T104841.380000
20190705T105017.270000 20190705T105023.460000
20190705T105736.270000 20190705T105743.410000
20190705T110237.820000 20190705T110243.680000
20190705T110506.710000 20190705T110513.780000
20190705T111018.780000 20190705T111025.660000
20190705T111040.700000 20190705T111047.860000
20190705T111636.120000 20190705T111643.100000
20190705T111702.200000 20190705T111709.530000
20190705T111729.350000 20190705T111736.770000
20190705T111817.390000 20190705T111824.620000
20190705T111954.910000 20190705T112001.940000
20190705T112034.470000 20190705T112041.440000
20190705T112517.410000 20190705T112523.770000
20190705T112610.330000 20190705T112617.260000
20190705T112703.280000 20190705T112710.250000
20190705T112924.560000 20190705T112931.740000
20190705T113032.980000 20190705T113040.200000
20190705T113801.290000 20190705T113808.530000
20190705T114124.570000 20190705T114130.410000
20190705T114147.550000 20190705T114154.840000
20190705T115159.250000 20190705T115205.420000
20190705T115546.470000 20190705T115553.450000
20190705T115858.000000 20190705T115904.500000
20190705T115951.980000 20190705T115959.210000
20190705T121737.290000 20190705T121743.130000
20190705T122528.480000 20190705T122535.500000
20190705T122559.850000 20190705T122606.980000
20190705T122655.110000 20190705T122702.050000
20190705T122915.750000 20190705T122922.880000
20190705T123040.400000 20190705T123048.350000
20190705T123535.370000 20190705T123542.960000
20190705T123628.720000 20190705T123635.830000
20190705T123839.740000 20190705T123846.930000
20190705T124021.820000 20190705T124028.940000
20190705T124356.070000 20190705T124403.040000
20190705T124943.950000 20190705T124949.850000
20190705T125009.960000 20190705T125017.010000
20190705T125514.480000 20190705T125521.600000
20190705T130008.160000 20190705T130015.460000
20190705T130209.740000 20190705T130215.720000
20190705T130436.520000 20190705T130443.760000
20190705T130933.220000 20190705T130940.410000
20190705T131510.090000 20190705T131517.360000
20190705T131719.490000 20190705T131726.650000
20190705T131830.390000 20190705T131837.610000
20190705T132243.790000 20190705T132249.960000
20190705T132343.120000 20190705T132350.000000
20190705T133134.260000 20190705T133142.130000
20190705T133355.790000 20190705T133402.840000
20190705T133508.470000 20190705T133514.960000
20190705T133850.680000 20190705T133857.880000
20190705T134028.810000 20190705T134035.780000
20190705T134113.160000 20190705T134120.500000
20190705T134234.010000 20190705T134241.170000
20190705T134915.290000 20190705T134922.340000
20190705T135237.810000 20190705T135244.820000
20190705T140157.070000 20190705T140203.970000
20190705T140718.990000 20190705T140725.940000
20190705T140751.800000 20190705T140757.660000
20190705T140943.810000 20190705T140951.010000
20190705T141156.310000 20190705T141202.930000
20190705T143634.760000 20190705T143641.630000
20190705T143648.390000 20190705T143655.550000
20190705T143721.950000 20190705T143728.700000
20190705T143734.450000 20190705T143741.330000
20190705T144316.970000 20190705T144324.460000
20190705T145527.380000 20190705T145534.970000
20190705T145730.820000 20190705T145738.200000
20190705T150018.420000 20190705T150025.240000
20190705T150247.050000 20190705T150254.320000
20190705T150443.080000 20190705T150451.010000
20190705T150847.770000 20190705T150854.940000
20190705T151119.020000 20190705T151125.690000
20190705T151405.010000 20190705T151412.180000
20190705T151449.160000 20190705T151456.400000
20190705T152150.890000 20190705T152158.120000
20190705T152621.580000 20190705T152628.730000
20190705T152751.490000 20190705T152758.730000
20190705T153044.330000 20190705T153051.290000
20190705T153946.490000 20190705T153952.450000
20190705T155657.450000 20190705T155705.100000
20190705T161622.690000 20190705T161628.560000
20190705T161739.790000 20190705T161746.720000
