ORIGIN;38.226782;-122.331413
#E049;2014/08/24 16:07:16;0.0;0.0;0.0;
CVS;16:07:16.780000;16:07:19.700000;
#E050;2014/08/24 16:16:49;0.0;0.0;0.0;
CVS;16:16:49.720000;16:16:52.350000;
#E051;2014/08/24 16:28:16;0.0;0.0;0.0;
CVS;16:28:16.680000;16:28:19.490000;
#E052;2014/08/24 17:19:13;0.0;0.0;0.0;
CVS;17:19:13.920000;17:19:16.660000;
#E053;2014/08/24 17:33:33;0.0;0.0;0.0;
CVS;17:33:33.700000;17:33:36.430000;
#E054;2014/08/24 17:45:40;0.0;0.0;0.0;
CVS;17:45:40.040000;17:45:42.660000;
#E055;2014/08/24 19:12:20;0.0;0.0;0.0;
CVS;19:12:20.760000;19:12:23.770000;
#E056;2014/08/24 19:29:57;0.0;0.0;0.0;
CVS;19:29:57.640000;19:30:00.050000;
#E057;2014/08/24 20:27:56;0.0;0.0;0.0;
CVS;20:27:56.810000;20:27:59.870000;
#E058;2014/08/24 21:00:46;0.0;0.0;0.0;
CVS;21:00:46.040000;21:00:48.550000;
#E059;2014/08/24 21:37:38;0.0;0.0;0.0;
CVS;21:37:38.940000;21:37:40.810000;
#E060;2014/08/24 21:38:35;0.0;0.0;0.0;
CVS;21:38:35.040000;21:38:37.770000;
#E061;2014/08/25 00:05:15;0.0;0.0;0.0;
CVS;00:05:15.410000;00:05:18.060000;
#E062;2014/08/25 00:17:17;0.0;0.0;0.0;
CVS;00:17:17.310000;00:17:20.340000;
#E063;2014/08/25 01:02:42;0.0;0.0;0.0;
CVS;01:02:42.920000;01:02:45.970000;
#E064;2014/08/25 01:32:11;0.0;0.0;0.0;
CVS;01:32:11.720000;01:32:13.880000;
#E065;2014/08/25 02:31:00;0.0;0.0;0.0;
CVS;02:31:00.090000;02:31:02.720000;
#E066;2014/08/25 03:24:12;0.0;0.0;0.0;
CVS;03:24:12.600000;03:24:15.720000;
#E067;2014/08/25 04:01:00;0.0;0.0;0.0;
CVS;04:01:00.530000;04:01:03.720000;
#E068;2014/08/25 05:57:34;0.0;0.0;0.0;
CVS;05:57:34.510000;05:57:37.010000;
#E069;2014/08/25 15:40:05;0.0;0.0;0.0;
CVS;15:40:05.530000;15:40:08.430000;
#E070;2014/08/25 23:19:34;0.0;0.0;0.0;
CVS;23:19:34.180000;23:19:37.140000;
#E071;2014/08/26 00:02:38;0.0;0.0;0.0;
CVS;00:02:38.030000;00:02:40.760000;
#E072;2014/08/26 01:11:44;0.0;0.0;0.0;
CVS;01:11:44.880000;01:11:47.490000;
#E073;2014/08/26 03:55:43;0.0;0.0;0.0;
CVS;03:55:43.970000;03:55:46.250000;
#E074;2014/08/26 04:44:50;0.0;0.0;0.0;
CVS;04:44:50.630000;04:44:53.720000;
#E075;2014/08/26 08:09:22;0.0;0.0;0.0;
CVS;08:09:22.840000;08:09:25.480000;
#E076;2014/08/26 11:40:30;0.0;0.0;0.0;
CVS;11:40:30.280000;11:40:33.100000;
#E077;2014/08/26 13:45:56;0.0;0.0;0.0;
CVS;13:45:56.040000;13:45:58.670000;
