ORIGIN;35.70;-117.50;10.717;
#R001;2019/07/04 17:02:55;35.706966;-117.500789;10.717;
WBS;17:03:05.540000;17:03:13.030000;
WMF;17:03:04.850000;17:03:11.880000;
#R002;2019/07/04 17:09:20;35.706767;-117.498763;10.589;
WBS;17:09:30.290000;17:09:37.770000;
WMF;17:09:29.590000;17:09:36.600000;
#R003;2019/07/04 17:12:14;35.706205;-117.500155;10.603;
WBS;17:12:25.140000;17:12:32.650000;
WMF;17:12:24.480000;17:12:31.620000;
#R004;2019/07/04 17:35:01;35.643400;-117.566081; 6.600;
WBS;17:35:10.800000;17:35:17.450000;
WMF;17:35:11.640000;17:35:19.060000;
#E005;2019/07/04 17:35:51;35.688721;-117.503060; 0.733;
WBS;17:36:02.430000;17:36:10.280000;
WMF;17:36:02.370000;17:36:09.650000;
#E006;2019/07/04 17:37:55;35.742753;-117.547323; 8.709;
WBS;17:38:05.270000;17:38:12.490000;
WMF;17:38:04.020000;17:38:10.290000;
#E007;2019/07/04 17:39:35;35.685010;-117.493555;10.340;
WBS;17:39:45.540000;17:39:52.970000;
WMF;17:39:45.230000;17:39:52.370000;
#E008;2019/07/04 17:42:21;35.578658;-117.637720; 6.417;
WBS;17:42:29.690000;17:42:35.570000;
WMF;17:42:32.510000;17:42:40.580000;
#E009;2019/07/04 17:42:53;35.728520;-117.556795; 8.190;
WBS;17:43:03.640000;17:43:10.700000;
WMF;17:43:02.780000;17:43:09.130000;
#E010;2019/07/04 17:46:03;35.642944;-117.614331; 7.801;
WBS;17:46:12.110000;17:46:18.250000;
WMF;17:46:13.370000;17:46:20.570000;
#E011;2019/07/04 17:46:49;35.639490;-117.615796; 7.800;
WBS;17:46:58.310000;17:47:04.460000;
WMF;17:46:59.710000;17:47:06.980000;
#E012;2019/07/04 17:59:38;35.688041;-117.511434; 8.782;
WBS;17:59:48.890000;17:59:56.060000;
WMF;17:59:48.550000;17:59:55.640000;
#E013;2019/07/04 17:59:59;35.687199;-117.492952; 6.298;
WBS;18:00:10.190000;18:00:17.620000;
WMF;18:00:09.790000;18:00:16.980000;
#E014;2019/07/04 18:00:40;35.628564;-117.566382; 2.456;
WBS;18:00:49.500000;18:00:56.210000;
WMF;18:00:50.770000;18:00:58.260000;
#E015;2019/07/04 18:02:36;35.733053;-117.539054; 9.503;
WBS;18:02:46.480000;18:02:53.680000;
WMF;18:02:45.410000;18:02:51.880000;
#E001;2019/07/04 18.03:02;0.0;0.0;0.0;
WBS;18:03:02.820000;18:03:09.210000;
WMF;18:03:04.650000;18:03:12.910000;
#E002;2019/07/04 18.04:15;0.0;0.0;0.0;
WBS;18:04:15.000000;18:04:22.050000;
WMF;18:04:15.510000;18:04:23.250000;
#E003;2019/07/04 18.08:00;0.0;0.0;0.0;
WBS;18:08:00.690000;18:08:07.940000;
WMF;18:07:59.810000;18:08:06.340000;
#E004;2019/07/04 18.08:43;0.0;0.0;0.0;
WBS;18:08:43.380000;18:08:50.820000;
WMF;18:08:43.460000;18:08:50.960000;
#E005;2019/07/04 18.08:56;0.0;0.0;0.0;
WBS;18:08:56.030000;18:09:03.890000;
WMF;18:08:55.040000;18:09:02.380000;
#E006;2019/07/04 18.13:01;0.0;0.0;0.0;
WBS;18:13:01.290000;18:13:08.020000;
WMF;18:13:01.760000;18:13:08.880000;
#E007;2019/07/04 18.14:01;0.0;0.0;0.0;
WBS;18:14:01.940000;18:14:09.610000;
WMF;18:14:01.040000;18:14:08.090000;
#E008;2019/07/04 18.15:13;0.0;0.0;0.0;
WBS;18:15:13.610000;18:15:19.930000;
WMF;18:15:15.580000;18:15:23.210000;
#E009;2019/07/04 18.18:54;0.0;0.0;0.0;
WBS;18:18:54.090000;18:19:00.460000;
WMF;18:18:55.500000;18:19:02.690000;
#E010;2019/07/04 18.22:52;0.0;0.0;0.0;
WBS;18:22:52.790000;18:22:59.960000;
WMF;18:22:52.320000;18:22:59.750000;
#E011;2019/07/04 18.25:39;0.0;0.0;0.0;
WBS;18:25:39.270000;18:25:45.650000;
WMF;18:25:40.830000;18:25:48.650000;
#E012;2019/07/04 18.28:52;0.0;0.0;0.0;
WBS;18:28:52.800000;18:28:59.450000;
WMF;18:28:53.270000;18:29:00.620000;
#E013;2019/07/04 18.34:13;0.0;0.0;0.0;
WBS;18:34:13.950000;18:34:20.970000;
WMF;18:34:14.590000;18:34:22.210000;
#E014;2019/07/04 18.35:27;0.0;0.0;0.0;
WBS;18:35:27.950000;18:35:34.720000;
WMF;18:35:28.880000;18:35:36.330000;
#E015;2019/07/04 18.37:41;0.0;0.0;0.0;
WBS;18:37:41.210000;18:37:48.130000;
