20140824T102044.07 38.21517 -122.31233 -1276.213041016832 1679.8594474320998 11.12
20140824T102444.24 38.25983 -122.33733 3663.2313317153603 -544.1549716673326 10.343
20140824T102725.97 38.23917 -122.33783 1370.5144729577005 -571.4965174967656 6.77
20140824T103825.74 38.2215 -122.33833 -590.4296451276168 -601.2408698919462 9.813
20140824T104540.07 38.22766 -122.32983 98.4229588797316 137.851180153084 7.693
20140824T104609.93 38.222 -122.31934 -522.9026914695278 1060.6223320144927 7.103
20140824T104725.87 38.20483 -122.32584 -2432.2127460148185 505.52229904499836 10.783
20140824T104748.12 38.20433 -122.32034 -2484.1728915190324 987.4764235796174 6.393
20140824T105137.28 38.22417 -122.33283 -290.7172617018223 -121.93844364152756 10.603
20140824T105238.86 38.225 -122.326 -194.29246620554477 475.2266678690212 7.763
20140824T105349.50 38.21917 -122.32833 -842.6600800883025 275.9742812211625 7.693
20140824T105503.09 38.2365 -122.34184 1071.7530289487913 -920.3164237313904 7.253
20140824T105746.52 38.2235 -122.31734 -355.17673342023045 1234.4622504302533 13.123
20140824T110437.78 38.22633 -122.3355 -52.728264255449176 -357.36564682458993 8.493
20140824T110730.36 38.2235 -122.34317 -371.52974629495293 -1026.479365442996 8.653
20140824T111549.15 38.22 -122.34283 -759.6716098440811 -993.9625929107424 9.063
20140824T112207.87 38.21933 -122.3255 -823.106244363822 523.5741699173814 10.223
20140824T113230.25 38.228 -122.3535 121.41799752041698 -1934.1664214921184 8.602
20140824T113251.26 38.21717 -122.32567 -1062.8839678326622 510.43809611699544 6.819
20140824T113317.74 38.22167 -122.32983 -566.2162379426882 142.6615792751545 8.233
20140824T113349.72 38.2275 -122.341 73.65215805545449 -839.6946673133643 10.596
20140824T113731.40 38.23583 -122.33767 1000.0138335125521 -554.8428327825386 8.213
20140824T114100.13 38.2195 -122.32784 -805.7327130604535 318.6015505443793 7.356
20140824T114154.47 38.2385 -122.35384 1286.270981975831 -1972.0569787634304 10.833
20140824T114555.99 38.229 -122.34734 236.15872165653855 -1395.7875669193454 9.393
20140824T115256.37 38.22167 -122.3345 -569.164343665354 -266.12126604793593 8.233
20140824T115950.89 38.23633 -122.34433 1051.3437321847305 -1138.0976093636127 6.643
20140824T120120.64 38.23 -122.331 357.3245719950646 33.568943895050324 7.063
20140824T120722.98 38.24383 -122.34317 1884.2510125609115 -1042.4840035425732 5.453
20140824T121024.12 38.23683 -122.3335 1113.5914556793869 -190.6966006013099 6.863
20140824T121910.05 38.2305 -122.336 409.6533307833597 -404.447998408461 7.943
20140824T123331.17 38.24617 -122.3345 2149.313462147489 -285.66343677195255 6.889
20140824T123358.15 38.20517 -122.328 -2395.8611955894157 316.1319913760526 6.166
20140824T123522.81 38.22433 -122.32616 -268.73635539319366 461.7628991799429 9.417
20140824T123738.73 38.239 -122.347 1345.9506829334423 -1373.855655845371 6.877
20140824T124712.55 38.23833 -122.3425 1274.396261913702 -979.5192166579654 8.439
20140824T125231.88 38.21967 -122.326 -785.699175122194 479.53128100477625 8.087
20140824T125637.93 38.22417 -122.32516 -285.85220877453685 549.4229245709721 9.517
20140824T132147.16 38.258 -122.32567 3467.5472425678745 477.4356029063929 6.648
20140824T132429.66 38.259 -122.344 3566.977187653072 -1127.0470704463078 9.553
20140824T133150.67 38.20917 -122.33 -1953.2983675077558 137.81460869009607 7.052
20140824T133701.45 38.228 -122.32217 141.02930064778775 808.0291126186494 7.339
20140824T141241.46 38.20683 -122.32417 -2209.2317299870774 650.1184624343878 6.917
20140824T142344.98 38.23333 -122.30283 745.0068155024201 2496.3342718072236 11.077
20140824T142926.61 38.22433 -122.33916 -276.9371749004349 -676.1350311847636 9.357
20140824T144940.19 38.24133 -122.347 1604.4835889311507 -1375.6794982339488 8.037
20140824T150256.84 38.23667 -122.34184 1090.6159380441532 -920.4505347054219 6.637
20140824T150733.73 38.245 -122.35733 2005.3737450046465 -2282.486852416885 10.209
20140824T151048.77 38.2215 -122.3295 -584.8700061682612 171.6843167321058 8.937
20140824T151357.54 38.218 -122.3315 -974.488825507462 -0.5802664337679744 6.888
20140824T154351.91 38.22717 -122.3335 41.734787666238844 -182.98015304107685 7.392
20140824T160647.02 38.21684 -122.3345 -1105.0915008885786 -262.2699278545333 7.512
20140824T160713.20 38.21817 -122.3265 -952.4546690434217 436.9736086669145 7.507
20140824T161646.47 38.239 -122.34517 1347.0820198422298 -1213.7069207617315 7.647
20140824T162812.88 38.21467 -122.31517 -1333.5342481732368 1431.6513427735772 8.137
20140824T171910.42 38.22633 -122.335 -52.4140671081841 -313.60154575353954 7.645
20140824T173330.15 38.22383 -122.33083 -327.17978754173964 53.395799663383514 8.247
20140824T174536.83 38.2375 -122.34084 1183.33402101323 -833.5905312889954 6.947
20140824T191217.20 38.21333 -122.31834 -1484.265195616521 1155.2367062106496 7.237
20140824T192954.56 38.2425 -122.34717 1734.199932647869 -1391.4718598856125 6.639
20140824T202753.12 38.2135 -122.31567 -1463.6786575661972 1388.8394353952026 7.907
20140824T210042.88 38.23633 -122.34116 1053.3134462740272 -860.6713042433839 6.459
20140824T213735.74 38.2425 -122.34666 1734.5148323336616 -1346.8423869302496 8.602
20140824T213831.77 38.2445 -122.34383 1958.1835010554641 -1100.7657947692787 7.907
20140825T000511.85 38.2245 -122.32417 -248.60401187743992 635.8112016854575 7.423
20140825T001713.79 38.21767 -122.325 -1006.9776861518621 568.6850096852286 7.395
20140825T010239.11 38.2195 -122.31917 -800.1885831058025 1077.542459949269 10.312
