20140825T023056.79  38.23846 -122.33459  7.513  1.53
20140825T032408.61  38.21052 -122.31264  8.980  2.41
20140825T040056.61  38.20719 -122.31493  6.473  1.24
20140825T051357.12  38.24477 -122.33214  8.280  1.16
20140825T055731.32  38.24997 -122.32928 10.009  1.83
20140825T062824.18  38.27723 -122.34934  7.827  1.20
20140825T065230.48  38.24061 -122.33404  7.349  1.30
20140825T121059.83  38.22846 -122.32449 10.945  1.29
20140825T154002.01  38.22816 -122.32193  8.550  1.41
20140825T200246.23  38.24391 -122.33022 10.651  1.47
20140825T200846.29  38.23717 -122.33086  7.504  1.29
20140825T211647.09  38.24432 -122.32941 10.249  1.50
20140825T221158.91  38.25270 -122.33000 10.009  1.88
20140825T221206.79  38.27858 -122.34487  7.715  1.67
20140825T225123.59  38.29196 -122.34810  7.108  1.19
20140825T231657.11  38.27345 -122.33882  9.059  1.72
20140825T231930.54  38.21650 -122.31792  8.306  1.13
20140825T235410.69  38.24029 -122.33324  7.881  1.73
20140826T000234.65  38.23599 -122.33078  7.558  2.79
20140826T011141.67  38.24418 -122.33702  7.198  1.46
20140826T013510.95  38.27445 -122.33915  7.661  1.21
20140826T035541.01  38.25117 -122.34475  6.764  1.29
20140826T044446.91  38.21479 -122.31726  8.122  1.10
20140826T080919.27  38.22575 -122.32053  7.325  1.41
20140826T114026.70  38.22637 -122.31634  8.649  1.87
20140826T123316.94  38.17058 -122.28996 10.183  3.90
20140826T123552.97  38.17105 -122.29117 10.136  2.70
20140826T123759.16  38.17413 -122.29013  9.325  1.85
20140826T124207.80  38.17223 -122.30295  7.018  1.25
20140826T131219.92  38.17549 -122.29175  9.562  2.71
20140826T134552.66  38.23743 -122.33006  9.416  2.99
20140826T163547.73  38.23218 -122.33120  7.490  1.88
20140826T175651.09  38.24013 -122.33448  8.414  2.52
20140826T190043.73  38.25420 -122.32265  8.255  1.26
20140826T191228.06  38.24286 -122.33717  7.884  1.51
20140826T232700.60  38.16690 -122.29273  8.645  2.06 
