20190704T170255 35.706966 -117.500789 3951563.043137325 454698.50772723154 10.717 20190704T170305.540000 20190704T170313.030000 20190704T170304.850000 20190704T170311.880000
20190704T170920 35.706767 -117.498763 3951540.0388785894 454881.66952410096 10.589 20190704T170930.290000 20190704T170937.770000 20190704T170929.590000 20190704T170936.600000
20190704T171214 35.706205 -117.500155 3951478.3478188957 454755.4299642362 10.603 20190704T171225.140000 20190704T171232.650000 20190704T171224.480000 20190704T171231.620000
20190704T173501 35.6434 -117.566081 3944545.0105045815 448751.4961511361 6.6 20190704T173510.800000 20190704T173517.450000 20190704T173511.640000 20190704T173519.060000
20190704T173551 35.688721 -117.50306 3949540.5331999473 454482.703348515 0.733 20190704T173602.430000 20190704T173610.280000 20190704T173602.370000 20190704T173609.650000
20190704T173755 35.742753 -117.547323 3955554.692661437 450511.13110309455 8.709 20190704T173805.270000 20190704T173812.490000 20190704T173804.020000 20190704T173810.290000
20190704T173935 35.68501 -117.493555 3949124.5819697212 455340.66242762754 10.34 20190704T173945.540000 20190704T173952.970000 20190704T173945.230000 20190704T173952.370000
20190704T174221 35.578658 -117.63772 3937404.2028777446 442219.24642485246 6.417 20190704T174229.690000 20190704T174235.570000 20190704T174232.510000 20190704T174240.580000
20190704T174253 35.72852 -117.556795 3953980.9113092045 449645.70565992227 8.19 20190704T174303.640000 20190704T174310.700000 20190704T174302.780000 20190704T174309.130000
20190704T174603 35.642944 -117.614331 3944520.658091099 444382.9540653168 7.801 20190704T174612.110000 20190704T174618.250000 20190704T174613.370000 20190704T174620.570000
20190704T174649 35.63949 -117.615796 3944138.404474144 444247.9227560087 7.8 20190704T174658.310000 20190704T174704.460000 20190704T174659.710000 20190704T174706.980000
20190704T175938 35.688041 -117.511434 3949469.0276106396 453724.61753194506 8.782 20190704T175948.890000 20190704T175956.060000 20190704T175948.550000 20190704T175955.640000
20190704T175959 35.687199 -117.492952 3949367.090242233 455396.44385905005 6.298 20190704T180010.190000 20190704T180017.620000 20190704T180009.790000 20190704T180016.980000
20190704T180040 35.628564 -117.566382 3942899.7119967425 448714.76844377146 2.456 20190704T180049.500000 20190704T180056.210000 20190704T180050.770000 20190704T180058.260000
20190704T180236 35.733053 -117.539054 3954474.7118483363 451252.9079528487 9.503 20190704T180246.480000 20190704T180253.680000 20190704T180245.410000 20190704T180251.880000
20190704T180253 35.605037 -117.580184 3940297.631687187 447449.61158943444 6.428 20190704T180302.820000 20190704T180309.210000 20190704T180304.650000 20190704T180312.910000
20190704T180405 35.666899 -117.544271 3947140.131685858 450740.4528413628 5.405 20190704T180415.000000 20190704T180422.050000 20190704T180415.510000 20190704T180423.250000
20190704T180750 35.728048 -117.531673 3953915.9590138146 451917.37577406096 7.581 20190704T180800.690000 20190704T180807.940000 20190704T180759.810000 20190704T180806.340000
20190704T180833 35.669157 -117.509733 3947373.8013510853 453867.6602776104 3.828 20190704T180843.380000 20190704T180850.820000 20190704T180843.460000 20190704T180850.960000
20190704T180845 35.710604 -117.476774 3951955.7187931323 456872.886628217 3.154 20190704T180856.030000 20190704T180903.890000 20190704T180855.040000 20190704T180902.380000
20190704T181251 35.668868 -117.559676 3947366.3458367023 449347.4445692248 6.916 20190704T181301.290000 20190704T181308.020000 20190704T181301.760000 20190704T181308.880000
20190704T181351 35.708195 -117.481917 3951690.807228884 456406.3557156457 4.594 20190704T181401.940000 20190704T181409.610000 20190704T181401.040000 20190704T181408.090000
20190704T181504 35.606559 -117.595793 3940474.882947716 446036.82607123244 2.842 20190704T181513.610000 20190704T181519.930000 20190704T181515.580000 20190704T181523.210000
20190704T181845 35.638586 -117.613086 3944036.608610442 444492.65483913175 7.705 20190704T181854.090000 20190704T181900.460000 20190704T181855.500000 20190704T181902.690000
